Name,Market Cap
NWSA,8091566592
O,27413473280
ODFL,17273804800
OKE,31010289664
OMC,16534016000
ORCL,168882782208
ORLY,29322663936
OXY,35268153344
PAYX,31254841344
PBCT,6990707712
PCAR,25190254592
PEAK,18725556224
PEG,29893466112
PEP,198897221632
PFE,191867928576
PFG,14209609728
PG,304483205120
PGR,47337492480
PH,26071808000
PHM,12216369152
PKG,9365452800
PKI,9845771264
PLD,70904553472
PM,133139218432
PNC,64434728960
PNR,7327173632
PNW,11346766848
PPG,27175593984
PPL,26965626880
PRGO,8059073024
PRU,34868510720
PSA,39559778304
PSX,38172958720
PVH,5926403072
PWR,5612071936
PXD,22523023360
PYPL,136579465216
QCOM,91885297664
QRVO,11145092096
RCL,20252450816
RE,11547749376
REG,10636548096
REGN,46800306176
RF,15053609984
RHI,6523850240
RJF,13057874944
RL,8082981888
RMD,24560304128
ROK,23557468160
ROL,13102950400
ROP,39023828992
ROST,43647225856
RSG,31564904448
RTN,60157177856
SBAC,33030631424
SBUX,97603690496
SCHW,56264601600
SEE,5241182208
SHW,52348547072
SIVB,12537090048
SJM,12525629440
SLB,42139340800
SLG,7201928704
SNA,8696310784
SNPS,21921794048
SO,71476797440
SPG,43201015808
SPGI,70921420800
SRE,43457089536
STE,14202803200
STT,26224852992
STX,13580150784
STZ,38613250048
SWK,22965972992
SWKS,18919536640
SYF,19784632320
SYK,80739647488
SYY,38412771328
T,272928079872
TAP,11749746688
TDG,32290467840
TEL,29434568704
TFC,72168480768
TFX,16563822592
TGT,57656532992
TIF,16226843648
TJX,74296369152
TMO,129580244992
TMUS,82582634496
TPR,7052540416
TROW,31098400768
TRV,34204758016
TSCO,11737927680
TSN,27593222144
TTWO,12819180544
TWTR,28076279808
TXN,113422049280
TXT,10472707072
UA,6702770176
UAA,6665470976
UAL,19097231360
UDR,14884758528
UHS,12369248256
ULTA,16323553280
UNH,263504101376
UNM,5599970304
UNP,122038329344
UPS,84552482816
URI,10557602816
USB,80813768704
UTX,126836989952
V,440496750592
VAR,12289748992
VFC,32299937792
VIAC,16754150400
VLO,32071997440
VMC,17235267584
VNO,11911796736
VRSK,27328276480
VRSN,23331332096
VRTX,61449342976
VTR,23505606656
VZ,239833890816
WAB,14094150656
WAT,13535734784
WBA,43433811968
WCG,17701019648
WDC,19000119296
WEC,32117592064
WELL,35154452480
WFC,191796199424
WHR,8837611520
WLTW,26450941952
WM,52659666944
WMB,24725821440
WMT,330020749312
WRB,14130831360
WRK,9710191616
WU,10373493760
WY,22186645504
WYNN,12900849664
XEC,4023491584
XEL,36901183488
XLNX,21195935744
XOM,238628241408
XRAY,12170493952
XRX,7422704640
XYL,15574685696
YUM,30157406208
ZBH,31743211520
ZBRA,12473526272
ZION,7222893568
ZTS,65726119936
